(45652,0.828158),
(89283,0.852399),
(131087,0.865724),
(178351,0.876839),
(221600,0.88609),
(262537,0.892973),
(334349,0.902203),
(522286,0.925122),
(595491,0.930934),
(791182,0.93882),
(1032682,0.950304),
(1244778,0.956959),
(1546902,0.964165),
(2133691,0.971367),
(2484135,0.97593),
(3526922,0.984788),


(46980,0.8221028093205515)
(91917,0.8476104038905605)
(135410,0.8627666132530963)
(182366,0.872579079140718)
(226106,0.8829015420194528)
(270316,0.8910175927506823)
(352546,0.9026483485410398)
(424520,0.9101606996011475)
(537825,0.922603339654328)
(620705,0.9293193729620041)
(808057,0.9344805092015954)
(1071529,0.9473637510321181)
(1312787,0.955839637953957)
(1662809,0.9641462656916941)
(2234145,0.9685280322580646)
(3305118,0.9805357287803513)
(3841983,0.9843367343782801)
(4242923,0.9871164390175635)
